"year","university","tuition_and_fees","total_expenses","total_salaries"
"2015","117867","2891445.0","","28340000.0"
"2015","117894","3408532.0","","30480700.0"
"2015","117900","4142.0","466069000.0","11651500.0"
"2015","117928","13713945.0","31436800.0","7548880.0"
"2015","117946","252497000.0","334697000.0","163163000.0"
"2015","117955","2884642.0","","1615890.0"
"2015","118134","728865.0","","303692.0"
"2015","118143","485910.0","","202462.0"
"2015","118161","1666278.0","","1066030.0"
"2015","118189","256907.0","","531714.0"
"2015","118198","9250182.0","8062380.0","4056530.0"
"2015","118259","7350318.0","6504220.0","3065470.0"
"2015","118277","20751548.0","15832200.0","8044900.0"
"2015","118286","12310168.0","10018800.0","4584230.0"
"2015","118347","4324588.0","76102600.0","32801400.0"
"2015","118541","23572766.0","29852700.0","11535900.0"
"2015","118684","1146236.0","37460500.0","14262000.0"
"2015","118693","15262773.0","25968700.0","10715300.0"
"2015","118718","4116406.0","97685600.0","35684300.0"
"2015","118772","4286547.0","","15874900.0"
"2015","118888","31179321.0","68319700.0","33127000.0"
"2015","118912","12615260.0","129605000.0","66620100.0"
"2015","118930","5525621.0","","35949000.0"
"2015","118958","361437.0","","147425.0"
"2015","118967","12011922.0","8997420.0","4222180.0"
"2015","118976","6037547.0","","45392000.0"
"2015","118994","1167905.0","","438294.0"
"2015","119067","4169587.0","47128000.0","30188200.0"
"2015","119137","9638555.0","","34056200.0"
"2015","119164","17932915.0","278585000.0","123206000.0"
"2015","119173","62207110.0","81214000.0","35798000.0"
"2015","119216","5582743.0","95407600.0","41234600.0"
"2015","119234","1537323.0","1994010.0","840301.0"
"2015","119270","27704687.0","27212200.0","14637600.0"
"2015","119331","4339009.0","59706500.0","23765200.0"
"2015","119553","10382894.0","","5353610.0"
"2015","119605","215095368.0","218156000.0","94420500.0"
"2015","119775","9430000.0","15910000.0","6058880.0"
"2015","119845","1323539.0","","644405.0"
"2015","119951","2756109.0","","1075320.0"
"2015","120023","0.0","301077000.0","0.0"
"2015","120069","3743453.0","","1363770.0"
"2015","120078","7030308.0","6808220.0","3198890.0"
"2015","120087","2823967.0","","965529.0"
"2015","120184","28991316.0","40049100.0","18676100.0"
"2015","120254","59070603.0","111988000.0","50647200.0"
"2015","120272","850501.0","","378175.0"
"2015","120290","10211296.0","70739300.0","39834800.0"
"2015","120342","13809684.0","152279000.0","61968700.0"
"2015","120403","34829645.0","40106100.0","21214600.0"
"2015","120421","1844224.0","","20480600.0"
"2015","120537","12380281.0","20767800.0","10054800.0"
"2015","120661","12373000.0","12481000.0","6782000.0"
"2015","120698","27189052.0","28226600.0","15014100.0"
"2015","120768","17817032.0","16224100.0","7471320.0"
"2015","120795","1314840.0","7175580.0","3157130.0"
"2015","120838","2356886.0","2453140.0","1334550.0"
"2015","120865","26099404.0","49755900.0","18422700.0"
"2015","120883","221926821.0","311234000.0","142844000.0"
"2015","120953","484533.0","19629400.0","7638280.0"
"2015","120971","16061246.0","189178000.0","80901400.0"
"2015","121017","407611.0","","912385.0"
"2015","121044","23894734.0","222069000.0","102201000.0"
"2015","121150","217729000.0","302489000.0","133734000.0"
"2015","121178","0.0","265062000.0","14568600.0"
"2015","121257","49936405.0","57339700.0","21435400.0"
"2015","121275","5498047.0","5047780.0","2642210.0"
"2015","121309","66386355.0","85828800.0","39969400.0"
"2015","121345","38557000.0","157134000.0","65753000.0"
"2015","121363","1012167.0","","13867200.0"
"2015","121433","449630.0","","409528.0"
"2015","121619","7572904.0","","64737900.0"
"2015","121628","1284716.0","","1928220.0"
"2015","121637","213622.0","","290187.0"
"2015","121691","97197532.0","123082000.0","55548400.0"
"2015","121707","3571620.0","68706700.0","20250600.0"
"2015","121859","1301180.0","","681827.0"
"2015","121868","2636271.0","","835893.0"
"2015","121886","5582909.0","124331000.0","49454900.0"
