"year","university","tuition_and_fees","total_expenses"
"2015","123165","31368088.0","61204200.0"
"2015","123217","3415468.0","84730200.0"
"2015","123280","219904.0","643533.0"
"2015","123299","4371397.0","70016100.0"
"2015","123341","12486949.0","139304000.0"
"2015","123350","250000.0",""
"2015","123396","1001500.0",""
"2015","123448","3360147.0","3665830.0"
"2015","123457","15730164.0","21631400.0"
"2015","123484","1946786.0","26522900.0"
"2015","123493","69888.0",""
"2015","123509","5258050.0","76261000.0"
"2015","123527","4581600.0",""
"2015","123554","94596361.0","130797000.0"
"2015","123563","3995422.0","86576500.0"
"2015","123572","53194302.0","180903000.0"
"2015","123633","5461374.0","6069140.0"
"2015","123642","2680150.0","3831300.0"
"2015","123651","32408414.0","40820800.0"
"2015","123679","12231000.0","12394000.0"
"2015","123800","4466664.0","158252000.0"
"2015","123855","2219745.0","7833100.0"
"2015","123916","976867.0","2885750.0"
"2015","123925","0.0","7768250.0"
"2015","123943","15130983.0","29860000.0"
"2015","123952","20347000.0","16356000.0"
"2015","123961","1249949000.0","3980360000.0"
"2015","123970","39290072.0","37514700.0"
"2015","124113","1944220.0","52649900.0"
"2015","124283","1775236.0","11084800.0"
"2015","124292","6052928.0","16797200.0"
"2015","124487","1669476.0","1993800.0"
"2015","124557","33977000.0","30976500000.0"
"2015","124681","7238274.0",""
"2015","124706","10278000.0","10946000.0"
"2015","124937","9917000.0","10568000.0"
"2015","125019","2091267.0","235161000.0"
"2015","125028","5182808.0",""
"2015","125037","2210321.0","2637670.0"
"2015","125082","1099885.0",""
"2015","125091","3073842.0","113694000.0"
"2015","125170","4361310.0",""
"2015","125222","5986090.0","149386000.0"
"2015","125231","566201000.0","498278000.0"
"2015","125310","352061.0",""
"2015","125462","1161792.0",""
"2015","125471","5637868.0",""
"2015","125532","20902722.0",""
"2015","125718","1136495.0","4037710.0"
"2015","125727","30973545.0","56698000.0"
"2015","125763","55635014.0","74849500.0"
"2015","125897","38915717.0","46896400.0"
"2015","126012","9816828.0","9516520.0"
"2015","126030","7841034.0","10809300.0"
"2015","126049","27719593.0","29812400.0"
"2015","126076","2676422.0","4020860.0"
"2015","126100","0.0","174874000.0"
"2015","126119","3128446.0","49819800.0"
"2015","126164","994131.0",""
"2015","126182","18714367.0","59796100.0"
"2015","126207","10093915.0","66875700.0"
"2015","126289","29700782.0","46361900.0"
"2015","126359","4017407.0","5631570.0"
"2015","126401","1978368.0","2256780.0"
