,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
4663,2015,407319,7063045.0,1642540.0,6335880.0,2106460.0
4664,2015,407328,1389225.0,407154.0,2004540.0,678218.0
4689,2015,408844,34594758.0,8362590.0,32020200.0,17846600.0
4706,2015,410520,3452156.0,1123510.0,4940790.0,4940790.0
4720,2015,413413,401941000.0,20066000.0,359400000.0,158380000.0
4730,2015,413884,8835905.0,2569890.0,7017130.0,2300630.0
4751,2015,415729,88835.0,29456.0,,8210.0
4813,2015,418384,109241.0,31720.0,,78901.0
4831,2015,418782,2561071.0,2005470.0,,754740.0
4865,2015,420307,51576551.0,13510300.0,192358000.0,12310200.0
4869,2015,420370,4988091.0,2343560.0,,2991080.0
4897,2015,422695,2900000.0,779420.0,3335310.0,2856800.0
4898,2015,422835,643034.0,1796830.0,,1889200.0
4923,2015,428268,6069282.0,485518.0,7025890.0,2792210.0
4939,2015,430184,32742486.0,4209340.0,24209400.0,6292280.0
4958,2015,430704,1451727.0,45592.0,1938540.0,986290.0
5012,2015,433420,6714056.0,1525830.0,21482000.0,2254650.0
5013,2015,433466,2104078.0,2904640.0,5490800.0,2804580.0
5014,2015,433536,5123105.0,1903220.0,4081410.0,1379360.0
5021,2015,434140,8231333.0,2545890.0,9195050.0,3817200.0
5026,2015,434317,8832847.0,5213850.0,9601860.0,3502280.0
5043,2015,434690,5856430.0,590399.0,,1055680.0
5057,2015,436094,7606613.0,784435.0,8098210.0,3581740.0
5059,2015,436191,8287523.0,2245550.0,,2779090.0
5061,2015,436429,39327263.0,8313800.0,41073200.0,16407300.0
5065,2015,436599,1318276.0,142144.0,1176280.0,411426.0
5074,2015,437097,6602609.0,498441.0,4048620.0,922381.0
5083,2015,437662,32370407.0,13418900.0,41533400.0,14710200.0
5096,2015,438498,55798231.0,8698490.0,57500000.0,24677300.0
5110,2015,439118,6563809.0,1878010.0,,2494140.0
5126,2015,439570,8967509.0,2679150.0,6036690.0,2060180.0
5129,2015,439631,105000.0,175000.0,,105300.0
5174,2015,440749,1162721.0,142394.0,,369219.0
5176,2015,440767,5719886.0,1951340.0,,1522760.0
5233,2015,441876,2905935.0,754367.0,,1345890.0
5239,2015,441955,12327426.0,2689890.0,8011960.0,2626380.0
5247,2015,442134,4395182.0,1508860.0,5439030.0,2148930.0
