"year","university","research_total","endowment_value_fiscal_year_end","total_expenses","total_salaries"
"2015","110705","198398000.0","167632000.0","","449357000.0"
"2015","110714","137044000.0","88166000.0","","305819000.0"
"2015","110778","114459.0","","6629310.0","3223930.0"
"2015","110875","0.0","","","426665.0"
"2015","110918","0.0","102995.0","464004.0","246396.0"
"2015","111009","0.0","","19959400.0","2372850.0"
"2015","111054","0.0","","","999122.0"
"2015","111081","0.0","139561000.0","61750100.0","35253900.0"
"2015","111188","4623880.0","6742230.0","56280500.0","21536300.0"
"2015","111391","0.0","23819200.0","27921700.0","15199900.0"
"2015","111434","0.0","","46761100.0","22990300.0"
"2015","111461","0.0","1719560.0","146379000.0","64157600.0"
"2015","111513","0.0","","","859788.0"
"2015","111638","0.0","","7211240.0","4257610.0"
"2015","111708","0.0","","","653111.0"
"2015","111717","0.0","","","1432240.0"
"2015","111726","0.0","","","960006.0"
"2015","111744","0.0","","","584502.0"
"2015","111762","0.0","","","460053.0"
"2015","111799","0.0","","","224967.0"
"2015","111887","644793.0","","167981000.0","69570400.0"
"2015","111896","0.0","","","14115400.0"
"2015","111920","0.0","","119124000.0","42651400.0"
"2015","111939","0.0","","144339000.0","63259200.0"
"2015","111948","4718110.0","301272000.0","252205000.0","121272000.0"
"2015","111966","13846100.0","83034400.0","47984300.0","22212400.0"
"2015","112075","0.0","19603900.0","65915800.0","30821700.0"
"2015","112084","0.0","656599.0","16741700.0","8927310.0"
"2015","112127","22716.0","16397800.0","4717960.0","1627680.0"
"2015","112172","0.0","2477740.0","106027000.0","45887700.0"
"2015","112181","0.0","","","583000.0"
"2015","112190","0.0","","315465000.0","139062000.0"
"2015","112251","7737760.0","187163000.0","69217900.0","34901600.0"
"2015","112260","7890000.0","733871000.0","103871000.0","44165000.0"
"2015","112288","0.0","","","1204950.0"
"2015","112367","0.0","","","1184630.0"
"2015","112376","0.0","920183.0","46783300.0","19038100.0"
"2015","112385","0.0","998970.0","50788900.0","20668100.0"
"2015","112394","0.0","","11242500.0","6432810.0"
"2015","112446","0.0","","13642200.0","5684200.0"
"2015","112455","0.0","","","201571.0"
"2015","112525","6878940.0","25051100.0","174642000.0","86212500.0"
"2015","112561","0.0","296432.0","","10854300.0"
"2015","112570","0.0","","7627620.0","2814340.0"
"2015","112686","0.0","","46412000.0","21770600.0"
"2015","112817","0.0","181413.0","279971000.0","8312450.0"
"2015","112826","0.0","4400010.0","","23791300.0"
"2015","113096","0.0","","","37993500.0"
"2015","113111","0.0","","","16940700.0"
"2015","113193","262044.0","7858700.0","89837900.0","37373300.0"
"2015","113218","0.0","241216.0","","22087300.0"
"2015","113236","0.0","","","50300000.0"
"2015","113333","0.0","11699100.0","","75892500.0"
"2015","113449","0.0","","","578819.0"
"2015","113537","0.0","","1136870.0","453397.0"
"2015","113573","0.0","21715100.0","106935000.0","35731100.0"
"2015","113582","0.0","","3387210.0","1015210.0"
"2015","113634","0.0","7036620.0","","60148900.0"
"2015","113698","0.0","35232600.0","55093300.0","28513400.0"
"2015","113704","9146.0","1158820.0","2732550.0","1556930.0"
"2015","113856","0.0","","","80515100.0"
"2015","113980","0.0","","214888000.0","86096900.0"
"2015","114044","0.0","","","1598670.0"
"2015","114114","0.0","","3296240.0","2048170.0"
"2015","114123","0.0","","5980850.0","3086110.0"
"2015","114266","0.0","","","29111900.0"
"2015","114354","0.0","","108794000.0","57420600.0"
"2015","114433","0.0","48137.0","22415200.0","7583840.0"
"2015","114460","759.0","","","1550600.0"
"2015","114549","334305.0","4853260.0","21428800.0","11227400.0"
"2015","114585","0.0","","5630980.0","3498980.0"
"2015","114637","0.0","","","233945.0"
"2015","114716","0.0","","","57479900.0"
"2015","114734","0.0","5009090.0","1664050.0","890790.0"
"2015","114761","0.0","","","306697.0"
"2015","114789","0.0","5491630.0","155941000.0","70574000.0"
"2015","114813","0.0","13343400.0","55253900.0","28025500.0"
"2015","114831","0.0","","328802000.0","4404100.0"
"2015","114840","4017000.0","200851000.0","65919000.0","30096000.0"
"2015","114859","0.0","","","85645900.0"
"2015","114938","69801.0","","52304500.0","21799300.0"
"2015","114947","0.0","","","3632980.0"
"2015","115001","383276.0","11162600.0","150222000.0","65578000.0"
"2015","115010","0.0","","","4251070.0"
"2015","115083","0.0","62847100.0","56758400.0","30581300.0"
"2015","115126","0.0","1753660.0","89158100.0","36282200.0"
"2015","115214","14482.0","33255900.0","7924790.0","3928730.0"
"2015","115287","0.0","225698.0","186676000.0","6508410.0"
"2015","115296","0.0","510656.0","","43767900.0"
"2015","115357","0.0","","","147638.0"
"2015","115393","0.0","5230160.0","81391300.0","30794800.0"
"2015","115409","3453720.0","288996000.0","60657400.0","28023500.0"
"2015","115658","0.0","","","412590.0"
"2015","115728","0.0","15117100.0","31364200.0","15992300.0"
"2015","115746","32608.0","","20689800.0","9860690.0"
"2015","115755","83427.0","28438900.0","154626000.0","72167400.0"
"2015","115773","0.0","198396.0","9807730.0","5598760.0"
"2015","115861","156388.0","1804630.0","72779900.0","26941200.0"
"2015","115931","0.0","","","1654060.0"
"2015","116226","0.0","","2978740.0","1072140.0"
"2015","116350","0.0","","","1955460.0"
"2015","116439","0.0","981458.0","","40871200.0"
"2015","116466","0.0","","10808800.0","4193850.0"
"2015","116475","0.0","","7149090.0","2656000.0"
"2015","116484","0.0","","8513450.0","3418300.0"
"2015","116563","0.0","","","1917020.0"
"2015","116712","0.0","4895660.0","24943800.0","12654700.0"
"2015","116846","0.0","22559100.0","22932600.0","9165860.0"
"2015","117052","0.0","1536430.0","100258000.0","46761300.0"
"2015","117104","0.0","3561650.0","8335310.0","3496820.0"
"2015","117113","0.0","","30067700.0","9320440.0"
"2015","117140","0.0","68802900.0","140190000.0","66887800.0"
"2015","117168","0.0","2159660.0","11328700.0","5219840.0"
"2015","117195","51460.0","424634.0","20844800.0","9446080.0"
"2015","117238","0.0","","","387230.0"
"2015","117247","0.0","","","29196500.0"
"2015","117274","0.0","","13292300.0","8581800.0"
"2015","117520","340868.0","","18280400.0","9725630.0"
"2015","117557","0.0","15000.0","5123390.0","2355800.0"
"2015","117575","0.0","115261.0","2370770.0","1180000.0"
"2015","117627","125910.0","16775900.0","76774900.0","25459100.0"
"2015","117636","32336800.0","357949000.0","283321000.0","128931000.0"
"2015","117645","975279.0","","211174000.0","80885100.0"
"2015","117672","17685.0","339712.0","22871600.0","10781100.0"
"2015","117681","0.0","","1224090000.0","30689300.0"
"2015","117690","0.0","","","31290300.0"
"2015","117706","0.0","","","52959500.0"
"2015","117715","0.0","","","26365500.0"
"2015","117724","0.0","","","49151500.0"
"2015","117733","0.0","","","51048200.0"
"2015","117751","0.0","18832200.0","36365700.0","17125500.0"
"2015","117788","0.0","","","53505200.0"
"2015","117803","0.0","465507.0","","2823850.0"
"2015","117867","0.0","","","28340000.0"
"2015","117894","0.0","771819.0","","30480700.0"
"2015","117900","0.0","4794870.0","466069000.0","11651500.0"
"2015","117928","0.0","","31436800.0","7548880.0"
"2015","117946","5839000.0","448480000.0","334697000.0","163163000.0"
"2015","117955","0.0","","","1615890.0"
"2015","118134","0.0","","","303692.0"
"2015","118143","0.0","","","202462.0"
"2015","118161","0.0","","","1066030.0"
"2015","118189","0.0","","","531714.0"
"2015","118198","0.0","","8062380.0","4056530.0"
"2015","118259","0.0","","6504220.0","3065470.0"
"2015","118277","0.0","","15832200.0","8044900.0"
"2015","118286","0.0","","10018800.0","4584230.0"
